currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName
USD,0.0,0.034927,0.034927,westus,US West,2025-12-01T00:00:00Z,00026917-5c42-5cf2-994e-4037490635aa,E2bds v5 Spot,DZH318Z09LQP,DZH318Z09LQP/00CL,Virtual Machines Ebdsv5 Series,Standard_E2bds_v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E2bds_v5
USD,0.0,0.04428,0.04428,westus,US West,2025-09-01T00:00:00Z,000322d3-224b-56e2-85b5-9cf54e4836d0,B2pls v2 Spot,DZH318Z0K9JL,DZH318Z0K9JL/0187,Virtual Machines Bpsv2 Series Windows,B2pls v2 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_B2pls_v2
USD,0.0,0.036,0.036,westus,US West,2025-09-01T00:00:00Z,000322d3-224b-56e2-85b5-9cf54e4836d0,B2pls v2 Spot,DZH318Z0K9JL,DZH318Z0K9JL/0187,Virtual Machines Bpsv2 Series Windows,B2pls v2 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,Standard_B2pls_v2
USD,0.0,0.167439,0.167439,westus,US West,2020-02-01T00:00:00Z,0005799c-e583-4edb-a937-27f79963cd59,vCore,DZH318Z0BPXK,DZH318Z0BPXK/008T,SQL Database Single/Elastic Pool General Purpose - Compute Gen4,1 vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,True,SQLDB_GP_Compute_Gen4_1
USD,0.0,0.0,0.0,westus,US West,2018-03-02T00:00:00Z,ba2b4df6-e886-4cf2-9818-33f27d22b3cf,Standard Perf Monitor Connection Metric,DZH318Z0BNXK,DZH318Z0BNXK/0004,Network Watcher,Standard,Network Watcher,DZH314X3WSLX,Networking,1,Consumption,False,
USD,10.0,0.3,0.3,westus,US West,2018-03-02T00:00:00Z,ba2b4df6-e886-4cf2-9818-33f27d22b3cf,Standard Perf Monitor Connection Metric,DZH318Z0BNXK,DZH318Z0BNXK/0004,Network Watcher,Standard,Network Watcher,DZH314X3WSLX,Networking,1,Consumption,False,
USD,1000010.0,0.02,0.02,westus,US West,2018-03-02T00:00:00Z,ba2b4df6-e886-4cf2-9818-33f27d22b3cf,Standard Perf Monitor Connection Metric,DZH318Z0BNXK,DZH318Z0BNXK/0004,Network Watcher,Standard,Network Watcher,DZH314X3WSLX,Networking,1,Consumption,False,
USD,240010.0,0.1,0.1,westus,US West,2018-03-02T00:00:00Z,ba2b4df6-e886-4cf2-9818-33f27d22b3cf,Standard Perf Monitor Connection Metric,DZH318Z0BNXK,DZH318Z0BNXK/0004,Network Watcher,Standard,Network Watcher,DZH314X3WSLX,Networking,1,Consumption,False,
USD,750010.0,0.05,0.05,westus,US West,2018-03-02T00:00:00Z,ba2b4df6-e886-4cf2-9818-33f27d22b3cf,Standard Perf Monitor Connection Metric,DZH318Z0BNXK,DZH318Z0BNXK/0004,Network Watcher,Standard,Network Watcher,DZH314X3WSLX,Networking,1,Consumption,False,
USD,0.0,0.161146,0.161146,westus,US West,2026-08-01T00:00:00Z,00115c07-3649-5b73-bbb6-acbcd5cd3979,EC8ascc v5 Spot,DZH318Z0BDLB,DZH318Z0BDLB/00B1,Virtual Machines ECasccv5 Series Windows,Standard_EC8as_cc_v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_EC8as_cc_v5
